comparison_identifier,comparison_name,image_identifier,question,reference_type,admissible_or_required_reference_set,exact_direction_category,direction_family,first_condition,first_prediction,first_correct,second_condition,second_prediction,second_correct,change
A,crop_only_rectification,IMG_3308.JPG,Where is Restrooms?,scalar,left,scalar:{left},horizontal,raw_crops_only,"""left""",True,rectified_crops_only,"[""left"", ""locational""]",False,worsened
A,crop_only_rectification,IMG_3349.JPG,Where is 1201 - 1301?,scalar,down,scalar:{down},vertical_forward,raw_crops_only,"""down""",True,rectified_crops_only,"""down-right""",False,worsened
A,crop_only_rectification,IMG_3349.JPG,Where is 1201?,scalar,down,scalar:{down},vertical_forward,raw_crops_only,"""down""",True,rectified_crops_only,"""down-right""",False,worsened
A,crop_only_rectification,IMG_3349.JPG,Where is 1301?,scalar,down,scalar:{down},vertical_forward,raw_crops_only,"""down""",True,rectified_crops_only,"""down-right""",False,worsened
A,crop_only_rectification,IMG_3364.JPG,Where is CONFERENCE ROOM?,scalar,left,scalar:{left},horizontal,raw_crops_only,"""unknown""",False,rectified_crops_only,"""left""",True,improved
A,crop_only_rectification,IMG_3379.JPG,Where is CONTRACTS AND GRANTS?,scalar,straight-left,scalar:{straight-left},diagonal,raw_crops_only,"""left""",False,rectified_crops_only,"""straight-left""",True,improved
A,crop_only_rectification,IMG_3393.JPG,Where is 4th floor?,alternatives,straight|straight-right,"alternatives:{straight,straight-right}",mixed_multi_direction,raw_crops_only,"[""straight"", ""down""]",False,rectified_crops_only,"""straight""",True,improved
A,crop_only_rectification,IMG_3402.JPG,Where is 3rd Floor?,scalar,locational,scalar:{locational},locational,raw_crops_only,"""locational""",True,rectified_crops_only,"""ERROR""",False,worsened
A,crop_only_rectification,IMG_3402.JPG,Where is Mathematical Sciences Office?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""ERROR""",False,worsened
A,crop_only_rectification,IMG_3402.JPG,Where is Mathematical Sciences?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""ERROR""",False,worsened
A,crop_only_rectification,IMG_3402.JPG,Where is Room 301?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""ERROR""",False,worsened
A,crop_only_rectification,IMG_3423.JPG,Where is Men's Restroom?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""straight-right""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3432.JPG,Where is Room 202A?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""left""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3432.JPG,Where is Women's Restroom?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""left""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3433.JPG,Where is Room 202A?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""left""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3433.JPG,Where is Women's Restroom?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""left""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3434.JPG,Where is Room 202A?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""left""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3434.JPG,Where is Women's Restroom?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""left""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3443.JPG,Where is 3039?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight""",False,worsened
A,crop_only_rectification,IMG_3443.JPG,Where is 3045?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight""",False,worsened
A,crop_only_rectification,IMG_3443.JPG,Where is 3051?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight""",False,worsened
A,crop_only_rectification,IMG_3443.JPG,Where is 4034?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight-right""",False,worsened
A,crop_only_rectification,IMG_3443.JPG,Where is 4040?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight-right""",False,worsened
A,crop_only_rectification,IMG_3443.JPG,Where is 4050?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight-right""",False,worsened
A,crop_only_rectification,IMG_3444.JPG,Where is 3039?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight""",False,worsened
A,crop_only_rectification,IMG_3444.JPG,Where is 3045?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight""",False,worsened
A,crop_only_rectification,IMG_3444.JPG,Where is 3051?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""straight""",False,worsened
A,crop_only_rectification,IMG_3465.JPG,Where is RPI's College Radio Station?,scalar,down,scalar:{down},vertical_forward,raw_crops_only,"""down-left""",False,rectified_crops_only,"""down""",True,improved
A,crop_only_rectification,IMG_3465.JPG,Where is WRPI 91.5 FM?,scalar,down,scalar:{down},vertical_forward,raw_crops_only,"""down-left""",False,rectified_crops_only,"""down""",True,improved
A,crop_only_rectification,IMG_3474.JPG,Where is Communications Center?,scalar,left,scalar:{left},horizontal,raw_crops_only,"""straight-left""",False,rectified_crops_only,"""left""",True,improved
A,crop_only_rectification,IMG_3474.JPG,Where is Tunnel to Communications Center?,scalar,left,scalar:{left},horizontal,raw_crops_only,"""straight-left""",False,rectified_crops_only,"""left""",True,improved
A,crop_only_rectification,IMG_3483.JPG,Where is Design Lab?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""locational""",False,worsened
A,crop_only_rectification,IMG_3483.JPG,Where is THE DESIGN LAB?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""locational""",False,worsened
A,crop_only_rectification,IMG_3485.JPG,Where is Design Lab?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""locational""",False,worsened
A,crop_only_rectification,IMG_3485.JPG,Where is THE DESIGN LAB?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""locational""",False,worsened
A,crop_only_rectification,IMG_3503.JPG,Where is Earth Sciences?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""unknown""",False,worsened
A,crop_only_rectification,IMG_3503.JPG,Where is Environmental Sciences?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""unknown""",False,worsened
A,crop_only_rectification,IMG_3504.JPG,Where is Earth Sciences?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""unknown""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3504.JPG,Where is Environmental Sciences?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""unknown""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3617.JPG,Where is Admissions?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""down-right""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3617.JPG,Where is Resident Life & Student Dining Services?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""down-right""",False,rectified_crops_only,"""right""",True,improved
A,crop_only_rectification,IMG_3648.JPG,Where is Cogswell Conference Room?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""locational""",False,worsened
A,crop_only_rectification,IMG_3680.JPG,Where is Room 308?,scalar,right,scalar:{right},horizontal,raw_crops_only,"""right""",True,rectified_crops_only,"""locational""",False,worsened
B,unannotated_scene_rectification,IMG_3308.JPG,Where is Restrooms?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"[""left"", ""locational""]",False,original_rectified_no_annotation,"""left""",True,improved
