comparison_id,first_condition,second_condition,primary_comparison,exploratory,both_correct,first_only_correct,second_only_correct,both_incorrect,absolute_accuracy_difference_percentage_points,net_correct_difference,mcnemar_exact_two_sided_p_value,mcnemar_holm_adjusted_p_value_21,cluster_bootstrap_standard_error,cluster_bootstrap_95_ci_low,cluster_bootstrap_95_ci_high,cluster_bootstrap_99_ci_low,cluster_bootstrap_99_ci_high,cluster_bootstrap_proportion_le_zero,cluster_randomization_status,cluster_randomization_nonzero_images,cluster_randomization_p_value,cluster_randomization_holm_adjusted_p_value_21
original_only__vs__raw_crops_only,original_only,raw_crops_only,False,True,1006,59,24,11,-3.1818181818181817,-35,0.00015455941078329165,0.0023183911617493747,0.014057878241612986,-0.06094188769869104,-0.0057859209257473485,-0.07129455909943715,0.0018467220683287165,0.99305,monte_carlo,37,0.02465197534802465,0.41908358091641906
original_only__vs__rectified_crops_only,original_only,rectified_crops_only,False,True,998,67,25,10,-3.8181818181818183,-42,1.3815919196387045e-05,0.00023487062633857978,0.014652364115984817,-0.068334937439846,-0.010912608225108245,-0.07858546168958742,-0.002835458802961962,0.9977,monte_carlo,42,0.009271990728009272,0.17616782383217616
original_only__vs__original_raw_no_annotation,original_only,original_raw_no_annotation,False,True,1044,21,14,21,-0.6363636363636364,-7,0.31050465907901525,1.0,0.014596069154053242,-0.03926714108041964,0.01609657947686117,-0.0525892096746721,0.020776959817487353,0.62827,exact,14,0.9261474609375,1.0
original_only__vs__original_rectified_no_annotation,original_only,original_rectified_no_annotation,False,True,1026,39,26,9,-1.1818181818181819,-13,0.13603239487789212,0.8215911118194096,0.02109899415983934,-0.05719392314566577,0.024193548387096774,-0.07379151937428487,0.031818181818181815,0.69457,exact,19,0.5784263610839844,1.0
original_only__vs__raw_crop_multiview,original_only,raw_crop_multiview,False,True,1028,37,18,17,-1.7272727272727273,-19,0.014453833533827731,0.1445383353382773,0.017893303110140948,-0.05725190839694656,0.011131725417439703,-0.07282430265320677,0.017117194290774164,0.8356,exact,18,0.5,1.0
original_only__vs__full_multiview,original_only,full_multiview,True,False,1056,9,27,8,1.6363636363636365,18,0.00393317302223295,0.0471980762667954,0.007983144179292216,0.0018050134605931813,0.03292568203198495,-0.002092116273948463,0.03899722841225628,0.01602,exact,18,0.05230712890625,0.8369140625
raw_crops_only__vs__rectified_crops_only,raw_crops_only,rectified_crops_only,False,True,1005,25,18,52,-0.6363636363636364,-7,0.3603776529357674,1.0,0.00982713866315704,-0.02645985401459854,0.012115705046739497,-0.03357909706746916,0.017543940720563034,0.74919,exact,21,0.5929031372070312,1.0
raw_crops_only__vs__original_raw_no_annotation,raw_crops_only,original_raw_no_annotation,False,True,1002,28,56,14,2.5454545454545454,28,0.0029853231844472294,0.038809201397813985,0.019326777947458476,-0.014406970529851869,0.06171648987463838,-0.02911738322086786,0.07279031039719425,0.09917,monte_carlo,35,0.21842878157121842,1.0
raw_crops_only__vs__original_rectified_no_annotation,raw_crops_only,original_rectified_no_annotation,False,True,995,35,57,13,2.0,22,0.02801690195894669,0.2521521176305202,0.02375573731795664,-0.029250578591154836,0.06320754716981132,-0.04690144927536229,0.07540401127489688,0.19911,monte_carlo,33,0.4469395530604469,1.0
raw_crops_only__vs__raw_crop_multiview,raw_crops_only,raw_crop_multiview,False,True,992,38,54,16,1.4545454545454546,16,0.11737015883134423,0.8215911118194096,0.02131801840279395,-0.03069777641778865,0.05322128851540616,-0.04773465886987974,0.06424879790082191,0.23824,monte_carlo,36,0.5884384115615885,1.0
raw_crops_only__vs__full_multiview,raw_crops_only,full_multiview,False,True,1024,6,59,11,4.818181818181818,53,4.964650327128617e-12,9.929300654257234e-11,0.01240854133484742,0.026052104208416832,0.07459677419354839,0.020480854853072127,0.08438409311348205,0.0,monte_carlo,33,6.999993000007e-06,0.000146999853000147
rectified_crops_only__vs__original_raw_no_annotation,rectified_crops_only,original_raw_no_annotation,False,True,997,26,61,16,3.1818181818181817,35,0.00022368935609481816,0.0031316509853274543,0.019301400945566108,-0.008234293112829727,0.06785714285714285,-0.022840181769379506,0.07859361289994048,0.05717,monte_carlo,36,0.10648389351610649,1.0
rectified_crops_only__vs__original_rectified_no_annotation,rectified_crops_only,original_rectified_no_annotation,False,True,983,40,69,8,2.6363636363636362,29,0.007040750835507646,0.07744825919058411,0.02480157717404561,-0.025021570319240724,0.0718503937007874,-0.042298497143235254,0.08510648249507403,0.14839,monte_carlo,38,0.3273906726093274,1.0
rectified_crops_only__vs__raw_crop_multiview,rectified_crops_only,raw_crop_multiview,False,True,982,41,64,13,2.090909090909091,23,0.03130178457554001,0.2521521176305202,0.02186091660652371,-0.025556764314621873,0.06057945566286216,-0.04279836992201886,0.07265781228288892,0.16761,monte_carlo,41,0.40713759286240714,1.0
rectified_crops_only__vs__full_multiview,rectified_crops_only,full_multiview,False,True,1015,8,68,9,5.454545454545454,60,5.632907524806409e-13,1.1829105802093459e-11,0.013810872968321829,0.029438001784121322,0.08354872116636643,0.02254983471197183,0.09384786794993198,0.0,monte_carlo,34,1.0999989000011e-05,0.00021999978000021998
original_raw_no_annotation__vs__original_rectified_no_annotation,original_raw_no_annotation,original_rectified_no_annotation,False,True,1038,20,14,28,-0.5454545454545454,-6,0.39152830513194203,1.0,0.015465914677669581,-0.04038652050761083,0.018165304268846504,-0.054770375437594936,0.02310536044362292,0.59997,exact,11,0.9599609375,1.0
original_raw_no_annotation__vs__raw_crop_multiview,original_raw_no_annotation,raw_crop_multiview,False,True,1021,37,25,17,-1.0909090909090908,-12,0.16188140552559765,0.8215911118194096,0.022383540889497174,-0.056487578119124957,0.032461677186654644,-0.07283654195796455,0.04627780475959216,0.69443,exact,17,0.6075286865234375,1.0
original_raw_no_annotation__vs__full_multiview,original_raw_no_annotation,full_multiview,False,True,1052,6,31,11,2.272727272727273,25,4.12575900554657e-05,0.0006601214408874512,0.014693033267549619,0.0,0.05575547788460272,-0.0037986885198545515,0.06931534403471483,0.02799,exact,13,0.099853515625,1.0
original_rectified_no_annotation__vs__raw_crop_multiview,original_rectified_no_annotation,raw_crop_multiview,False,True,1011,41,35,13,-0.5454545454545454,-6,0.5665734423986847,1.0,0.02647462714999706,-0.05708848715509039,0.04737335002673935,-0.07434959599373252,0.06468087338193723,0.59556,exact,16,0.94036865234375,1.0
original_rectified_no_annotation__vs__full_multiview,original_rectified_no_annotation,full_multiview,False,True,1048,4,35,13,2.8181818181818183,31,3.353161446284503e-07,6.035690603312105e-06,0.01959394897468841,-0.002785515320334262,0.07122780635445503,-0.005692615060145162,0.08688115191611114,0.07397,exact,8,0.3046875,1.0
raw_crop_multiview__vs__full_multiview,raw_crop_multiview,full_multiview,False,True,1041,5,42,12,3.3636363636363638,37,2.4579776436439715e-08,4.670157522923546e-07,0.017265704459709003,0.007368372588930895,0.0726950354609929,0.002944062806673209,0.08764618937792927,0.00117,exact,15,0.00982666015625,0.1768798828125
